group,support,patternSize,occurrences
1,0.5,3,1
1,0.6,3,1
1,0.7,3,1
1,0.8,3,1
1,0.9,3,1
1,1.0,3,1
2,0.5,3,1
2,0.6,2,1
2,0.7,2,1
2,0.8,2,1
2,0.9,2,1
2,1.0,2,1
3,0.5,2,1
3,0.6,2,1
3,0.7,2,1
3,0.8,2,1
3,0.9,2,1
3,1.0,2,1
4,0.5,4,3
4,0.6,4,4
4,0.8,3,2
4,0.9,2,1
5,0.6,2,1
5,0.7,2,1
5,0.8,2,1
5,0.9,2,1
5,1.0,2,1
6,0.5,2,1
6,0.6,2,1
6,0.7,2,1
6,0.8,2,1
6,0.9,2,1
7,0.5,5,1
7,0.5,6,3
7,0.6,6,4
7,0.7,5,1
7,0.7,6,5
7,0.8,5,2
7,0.9,5,3
7,1.0,3,2
8,0.5,5,1
8,0.5,6,2
8,0.6,5,3
8,0.7,5,2
8,0.8,5,2
8,0.9,5,1
8,1.0,3,1
9,0.5,5,2
9,0.6,5,2
9,0.7,5,2
9,0.8,4,2
9,0.9,2,1
9,0.9,3,1
10,0.5,4,2
10,0.6,4,2
10,0.7,4,1
10,0.8,3,1
10,0.9,3,1
10,1.0,3,1
11,0.5,3,2
11,0.6,3,2
11,0.7,2,1
11,0.8,2,1
12,0.5,2,1
12,0.6,2,1
12,0.7,2,1
12,0.8,2,1
12,0.9,2,1
12,1.0,2,1
14,0.5,4,1
14,0.6,3,1
14,0.7,3,1
14,0.8,3,1
14,0.9,3,1
14,1.0,3,1
15,0.5,5,1
15,0.6,5,1
15,0.7,5,1
15,0.8,5,1
15,0.9,4,1
15,1.0,3,1
16,0.5,7,10
16,0.6,4,1
16,0.6,5,3
16,0.6,6,6
16,0.7,5,4
16,0.8,5,2
16,0.9,5,1
16,1.0,3,1
17,0.6,3,1
17,0.7,2,1
17,0.8,2,1
17,0.9,2,1
17,1.0,2,1
